Name,decScore,pBat_speed,smash_factor,95th_pBat_speed,std_pBat_speed,conScore,xRV,std_EV,EV95,count,sprint_speed,decGrade,powGrade,altPowGrade,conGrade,SFGrade,speedGrade,95thPowGrade,EV95Grade,stdEVGrade,decScore_bayes,decScore_ci_lower,decScore_ci_upper,decScore_bayes_grade,decScore_ci_lower_grade,decScore_ci_upper_grade,95th_pBat_speed_bayes,95th_pBat_speed_ci_lower,95th_pBat_speed_ci_upper,95th_pBat_speed_bayes_grade,95th_pBat_speed_ci_lower_grade,95th_pBat_speed_ci_upper_grade,smash_factor_bayes,smash_factor_ci_lower,smash_factor_ci_upper,smash_factor_bayes_grade,smash_factor_ci_lower_grade,smash_factor_ci_upper_grade,conScore_bayes,conScore_ci_lower,conScore_ci_upper,conScore_bayes_grade,conScore_ci_lower_grade,conScore_ci_upper_grade,IDfg
Henry Davis,-0.48582612137744136,72.71563943278557,0.25739345264156266,80.3421449334218,0.671532934262344,-0.2398190045248869,-0.015683528399549784,3.305514872365357,104.89,453,4.49,38.77825988535254,64.32706611575438,63.88739672009772,33.310076309808636,21.10589450728841,51.2576672797399,58.65403893585575,50.11798317393141,80.51819808297529,-0.4675141380415064,-0.5043404660297951,-0.4305207972278739,42.22398958642579,40.59026861942578,45.49043659687073,80.34240758626564,80.34050832987522,80.34430684265604,54.79006528003329,54.78863237384835,54.79102775655559,0.2920128011701537,0.24293661867769226,0.34174723350230546,27.030684446236872,30.051862324261688,27.837322530256436,-0.21761168413942675,-0.2732001263106981,-0.1608452087565788,37.88249774425677,38.177934441545816,39.90156412460392,29617
Pablo Reyes,-0.4863454861525761,72.30846275290729,0.4147560977303429,79.11604365740006,0.5674779281818715,-0.10416666666666667,-0.007178844683592104,2.034230871384865,103.0,225,4.56,38.606742000918345,56.23009337597827,49.19075922066961,57.132562331460385,50.49192967694817,54.9472694319742,18.155336895442137,42.94969519846693,41.634333535485105,-0.46233674045585127,-0.5033801422840688,-0.4204582745009152,44.84851489330673,41.02298167100322,50.20690454570561,79.1164375862551,79.11453832986469,79.1183368426455,41.87972218887232,41.87855763394033,41.88105740575501,0.4072065231159463,0.3339213742970992,0.4789557556421828,51.636625012367944,47.00448888088804,56.19086606162924,-0.12682949977230412,-0.19530268019519467,-0.05681015075921929,55.722038115895735,51.04262980037475,60.67592125269172,16357
Thomas Saggese,-0.4864965510100383,71.85041107564935,0.37881669871428925,79.82410691217466,0.8927454822097184,-0.12745098039215685,-0.012136480090665773,3.3028126541739273,104.44,189,4.473770161290323,38.55685351019899,47.121438270103795,95.13126234433449,53.04350461961329,43.78057551239182,50.402215167830754,41.54299935178014,48.41124794167795,80.43554724645702,-0.4617521955671483,-0.5028791038080377,-0.4184958738031266,45.14483226666424,41.24874500226102,51.12671364776055,79.82391059168333,79.82201133529293,79.82580984807375,49.32992017718747,49.328600764251405,49.33104029603119,0.38826355550708264,0.3187816279842236,0.4600859269043958,47.5903147859375,44.1835936258867,52.29149813460675,-0.140082373402541,-0.20929182458266693,-0.07035753269235032,53.11772565288275,48.732334792645545,57.970697111454534,-1
Adolis García,-0.4865317195712415,72.98136621876013,0.3461032328341145,80.46960801314177,0.4682167429823557,-0.22583139984532097,-0.0004263942082565739,2.432447273908327,106.28,2485,4.47,38.545239250809516,69.61121584384681,35.17119676432136,35.76649926732243,37.67163486555707,50.20349523624435,62.864204431712025,55.38989866911429,53.8142969774609,-0.4804993852119801,-0.4999563793645227,-0.4586207050919537,35.641510792555025,42.56569776793156,32.31955307170106,80.46965776442319,80.46775850803279,80.4715570208136,56.130100891354324,56.128640131515084,56.131024679101955,0.3496462315785884,0.32412076557282227,0.37561053081081464,39.341466139005945,45.17840209745722,34.835025438052604,-0.2221765628342861,-0.2479460393375245,-0.19684884878538897,36.98545678477452,42.34862490286749,32.71213692316377,19287
Rece Hinds,-0.48678391670611953,73.40331583119713,0.3320114826531695,80.76429329836587,0.5439216672370368,-0.21568627450980393,0.0016231049935020133,1.6228575620388461,110.1,183,4.473770161290323,38.46195227967556,78.00195794254182,45.863693652287125,37.54812802735057,35.04012936318271,50.402215167830754,72.59779805515885,69.87818441846576,29.051949090525166,-0.4611676506784453,-0.5019187800623113,-0.41891340586648584,45.44114964002178,41.681458053838504,50.931009583493555,80.76404250493695,80.76214324854655,80.76594176132737,59.23018327575396,59.22865807835592,59.231017559619545,0.36390831143854363,0.29164710681477024,0.4333902389614026,42.38791592338408,39.127786188179,46.77495048591214,-0.1865410581840936,-0.2639231147695323,-0.11284035538483186,43.988163629765,39.71002481509256,49.48746705985746,-1
Shay Whitcomb,-0.48736299457724824,72.92239043045754,0.43687399189947335,79.57385829694466,0.4182477387524507,-0.08333333333333333,0.003158316115758407,2.5150972716207773,105.39999999999999,181,4.473770161290323,38.270714413470856,68.43844398879943,28.11361857527812,60.79119291574464,54.62224418434724,50.402215167830754,33.27716984615471,52.05228310381862,56.34225399841189,-0.4610006378531016,-0.5051755301565137,-0.419414444342517,45.52581174669535,40.21399640066274,50.69616470637313,79.57415837634424,79.57225911995383,79.57605763273465,46.699850283325944,46.69858553838317,46.701046336108156,0.4164220208716097,0.33940678962785126,0.492047613564911,53.60510025765842,48.026552379076925,58.89624148386578,-0.11519642180798509,-0.18801359969856438,-0.042305616841682256,58.00804572231824,52.24641509387576,63.57227536042937,-1
Elehuris Montero,-0.48747713993113545,72.07300121292151,0.38809665174078833,79.9118108661104,0.6344637665930363,-0.17270788912579957,-0.012564965099598575,1.8871274466765648,107.8,860,4.75,38.23301842299548,51.54778772158644,58.651780096136235,45.09574571834611,45.51352189147461,64.96190384518168,44.43990221590117,61.154871009170364,37.134985131495206,-0.4743199106742627,-0.5047162448868185,-0.4451761726517848,38.77400873947744,40.42094612098238,38.62122394109872,79.91222601383745,79.91032675744705,79.91317564203267,50.25994489250731,50.25860614830361,50.251038183152545,0.3899457495418466,0.3467938156065973,0.43295140573494245,47.94963963230005,49.40293122330462,46.68426751086511,-0.17041672860063875,-0.20914457043121987,-0.12970095572552212,47.15674379309747,48.756653687463746,46.12063918842638,20543
Greg Jones,-0.4875277762387894,68.81609130718581,0.0907460997626883,77.04739973056886,,-0.35714285714285715,0.011501326045396167,,105.48499999999999,29,4.473770161290323,38.216296009808886,-13.217981110096787,,12.706333808008779,-10.013974950081696,50.402215167830754,-50.172945326296414,52.374666425466465,,-0.453777333156986,-0.5022945589193346,-0.40329770669684867,49.18744786032763,41.51213555539516,58.25034158707966,77.04719774890192,77.0452984925115,77.04909700529234,20.089143106269873,20.088431485017324,20.091107448826815,0.3165874618519228,0.228674538817737,0.406328856663026,32.27995176701151,27.394497228970582,41.182833691345024,-0.17689591126431012,-0.27717598839976915,-0.07183007420682108,45.88352436673556,37.52132428145437,57.67665100914614,-1
Cooper Hummel,-0.48752777623878946,74.0922962100686,0.4447466241320503,79.52942162695054,,-0.35714285714285715,-0.028907835856222402,,101.94,23,4.473770161290323,38.21629600980887,91.70278026770683,,12.706333808008779,56.09238627260321,50.402215167830754,31.80940572833284,38.929385540269905,,-0.45386083956965784,-0.5021275460939909,-0.40446679647425465,49.14511680699084,41.58738999914776,57.70237020713204,79.52952585116957,79.52762659477916,79.53142510755998,46.22983779278783,46.228582817410576,46.2310474155136,0.40508549585472214,0.30334932618704125,0.4962165292162825,51.18356324956299,41.308188317648636,59.7577297468126,-0.1883817350771821,-0.28807279560685284,-0.08898518285040549,43.62645356545764,35.7217260649074,54.25101391725339,19458
Ryan Vilade,-0.4877676501613166,70.95166199773867,0.3669262330333675,80.39593669183573,0.633551289244108,-0.1346153846153846,-0.010818240195171823,2.9650042158486016,103.54999999999998,188,4.4,38.137078724208166,29.249229120215446,58.522902598274506,51.78533301596802,41.56013976357693,46.51389308401005,60.43080602584996,45.03570492677663,70.10323947831836,-0.46183570197982016,-0.5038811807600999,-0.41807834173976727,45.10250121332745,40.79721833974542,51.32241771202758,80.39558676519715,80.39368750880674,80.39748602158757,55.350080162376415,55.34863561585827,55.35102647045565,0.38175419598125687,0.3099318245839437,0.4498464849536587,46.1998838587085,42.534664515475306,50.17556205017594,-0.1437637271887179,-0.2150347364891029,-0.07683671535602168,52.394305524268034,47.78389789473567,56.67689426129761,22165
Eric Wagaman,-0.48783958183281967,72.26374765766259,0.44357914670338333,80.34799186368419,0.4984757834631606,-0.15827338129496402,0.0012869111859207232,3.2992010052022107,106.94,269,4.473770161290323,38.11332361275145,55.34090466467721,39.444957016499814,47.63065124565741,55.87437053729808,50.402215167830754,58.8471657934637,57.89311034308599,80.32508029391062,-0.46434089435997583,-0.5060523474895682,-0.42525989322954694,43.83256961322378,39.81891057096159,47.95630780663503,80.34810535543687,80.34620609904646,80.35000461182727,54.85006687457006,54.84863272120657,54.85102761875916,0.4243941578189693,0.35352259174565315,0.48729358694492586,55.30798757302876,50.65666244774967,57.91384258752289,-0.15775287157619017,-0.21775893829087384,-0.10209080232919529,49.6453090355321,47.333998340598924,51.63400360670871,-1
Blake Dunn,-0.48800747715268217,70.74521286063087,0.3050929209893883,79.65746939969672,0.5002002421484489,-0.18518518518518517,-0.020906229200117917,4.439500722678917,100.615,120,4.473770161290323,38.05787693741282,25.143853940546883,39.6885180438359,42.9045545036883,30.013334094697935,50.402215167830754,36.038883909949526,33.90399846752362,115.20262120822122,-0.45820317302859437,-0.5025033249510144,-0.4145710724075493,46.9439020334778,41.41806750070436,52.966331851870436,79.65772565752233,79.65582640113193,79.65962491391275,47.579873669865094,47.57859063297029,47.58104431509385,0.36215297853270295,0.2762148050175879,0.44121609816660884,42.01296825761445,36.25238087994094,48.39213020758426,-0.16754527264742075,-0.2498603433063365,-0.08905880992612902,47.721011493416945,42.03247927023086,54.23631161213797,-1
Kyle Higashioka,-0.4883084800210966,72.01657100103077,0.41555635696482823,80.31992659842474,0.6445516092585276,-0.1644100580270793,0.0018307275952480528,1.7616460556527302,106.025,1128,4.71,37.958472091973164,50.42563630683518,60.07657811778388,46.55296325311425,50.641370772045185,62.85355975819064,57.920156876944816,54.42274870417068,33.296974578355,-0.4766998434354106,-0.5058018282515526,-0.44755610541293267,37.56757371937895,39.93179223659049,37.50571077477678,80.3196165095807,80.3186668813855,80.32151576597111,54.550058901886196,54.55863104230862,54.55102830774145,0.41261879957562164,0.3722461427412867,0.4551124836711807,52.79271364849093,54.14530585490106,51.26375775074037,-0.16379029178552032,-0.19773237369407143,-0.12999546402841627,48.458900024603956,50.641368035874414,46.061829967964705,5517
Luis De Los Santos,-0.48880697867583667,71.4615195177425,0.38918007060029414,80.15562785805177,0.7510214447755104,-0.09433962264150944,-0.011458337060427605,2.4805913273518714,102.815,121,4.473770161290323,37.793845150086085,39.388077056877826,75.11428400198429,58.85833147499069,45.71584045755456,50.402215167830754,52.49329217815776,42.24803738076272,55.286845087420666,-0.4584536922666099,-0.5030043634270455,-0.4121493864400655,46.81690887346744,41.192304169446565,54.10141542461908,80.15533083181012,80.1534315754197,80.15723008820052,52.82001292607613,52.8186209689205,52.82103228087186,0.395577442614752,0.31475899007500546,0.4792483111264896,49.152596726644234,43.43408039388152,56.25132137832726,-0.13404495319321086,-0.21856883612383274,-0.042673752220299954,54.30413466381089,47.200244419098816,63.49876383485228,-1
